resp_religion,caste_code,caste_name_english,caste_name_bangla,caste_name_hindi
6,14,Kshatriyas,Kshatriyas,Kshatriyas
6,15,Barui,Barui,Barui
6,16,Gandha Banik,Gandha Banik,Gandha Banik
6,17,Kulin Kayasthas,Kulin Kayasthas,Kulin Kayasthas
6,18,Mahishya,Mahishya,Mahishya
6,19,Namasudra,Namasudra,Namasudra
6,20,Rajbanshi,Rajbanshi,Rajbanshi
6,21,Poundra,Poundra,Poundra
6,22,Dom,Dom,Dom
6,23,Bagdi,Bagdi,Bagdi
6,24,Chamar,Chamar,Chamar
6,25,Muchi,Muchi,Muchi
6,26,Kori,Kori,Kori
6,27,Haldar,Haldar,Haldar
6,28,Santhal,Santhal,Santhal
6,29,Munda,Munda,Munda
6,30,Oraon,Oraon,Oraon
6,31,Bhumij,Bhumij,Bhumij
6,32,Ho,Ho,Ho
6,33,Lodha,Lodha,Lodha
6,34,Bhil,Bhil,Bhil
6,35,Birhor,Birhor,Birhor
6,36,Mallah,Mallah,Mallah
6,37,Teli/Teli Sahu,Teli/Teli Sahu,Teli/Teli Sahu
6,38,Napit,Napit,Napit
6,39,Karmakar,Karmakar,Karmakar
6,40,Rajak,Rajak,Rajak
6,41,Dhoba,Dhoba,Dhoba
6,42,Hela,Hela,Hela
6,43,Kahar,Kahar,Kahar
6,45,Kurmi,Kurmi,Kurmi
6,46,Pasi,Pasi,Pasi
6,47,Keot,Keot,Keot
6,44,Others (Specify),Others (Specify),Others (Specify)
6,88,Refused to respond,Refused to respond,Refused to respond
7,1,Aguri,Aguri,Aguri
7,2,Kansabanik,Kansabanik,Kansabanik
7,3,sadgop,sadgop,sadgop
7,4,shunri,shunri,shunri
7,5,Yadav,Yadav,Yadav
7,6,Santal,Santal,Santal
7,7,Pod,Pod,Pod
7,8,Tanti,Tanti,Tanti
7,9,Namaseej,Namaseej,Namaseej
7,10,Brahmins,Brahmins,Brahmins
7,11,Kayasthas,Kayasthas,Kayasthas
7,12,Baidyas,Baidyas,Baidyas
7,13,Rajputs,Rajputs,Rajputs
7,14,Kshatriyas,Kshatriyas,Kshatriyas
7,15,Barui,Barui,Barui
7,16,Gandha Banik,Gandha Banik,Gandha Banik
7,17,Kulin Kayasthas,Kulin Kayasthas,Kulin Kayasthas
7,18,Mahishya,Mahishya,Mahishya
7,19,Namasudra,Namasudra,Namasudra
7,20,Rajbanshi,Rajbanshi,Rajbanshi
7,21,Poundra,Poundra,Poundra
7,22,Dom,Dom,Dom
7,23,Bagdi,Bagdi,Bagdi
7,24,Chamar,Chamar,Chamar
7,25,Muchi,Muchi,Muchi
7,26,Kori,Kori,Kori
7,27,Haldar,Haldar,Haldar
7,28,Santhal,Santhal,Santhal
7,29,Munda,Munda,Munda
7,30,Oraon,Oraon,Oraon
7,31,Bhumij,Bhumij,Bhumij
7,32,Ho,Ho,Ho
7,33,Lodha,Lodha,Lodha
7,34,Bhil,Bhil,Bhil
7,35,Birhor,Birhor,Birhor
7,36,Mallah,Mallah,Mallah
7,37,Teli/Teli Sahu,Teli/Teli Sahu,Teli/Teli Sahu
7,38,Napit,Napit,Napit
7,39,Karmakar,Karmakar,Karmakar
7,40,Rajak,Rajak,Rajak
7,41,Dhoba,Dhoba,Dhoba
7,42,Hela,Hela,Hela
7,43,Kahar,Kahar,Kahar
7,45,Kurmi,Kurmi,Kurmi
7,46,Pasi,Pasi,Pasi
7,47,Keot,Keot,Keot
7,44,Others (Specify),Others (Specify),Others (Specify)
7,88,Refused to respond,Refused to respond,Refused to respond
44,1,Aguri,Aguri,Aguri
44,2,Kansabanik,Kansabanik,Kansabanik
44,3,sadgop,sadgop,sadgop
44,4,shunri,shunri,shunri
44,5,Yadav,Yadav,Yadav
44,6,Santal,Santal,Santal
44,7,Pod,Pod,Pod
44,8,Tanti,Tanti,Tanti
44,9,Namaseej,Namaseej,Namaseej
44,10,Brahmins,Brahmins,Brahmins
44,11,Kayasthas,Kayasthas,Kayasthas
44,12,Baidyas,Baidyas,Baidyas
44,13,Rajputs,Rajputs,Rajputs
44,14,Kshatriyas,Kshatriyas,Kshatriyas
44,15,Barui,Barui,Barui
44,16,Gandha Banik,Gandha Banik,Gandha Banik
44,17,Kulin Kayasthas,Kulin Kayasthas,Kulin Kayasthas
44,18,Mahishya,Mahishya,Mahishya
44,19,Namasudra,Namasudra,Namasudra
44,20,Rajbanshi,Rajbanshi,Rajbanshi
44,21,Poundra,Poundra,Poundra
44,22,Dom,Dom,Dom
44,23,Bagdi,Bagdi,Bagdi
44,24,Chamar,Chamar,Chamar
44,25,Muchi,Muchi,Muchi
44,26,Kori,Kori,Kori
44,27,Haldar,Haldar,Haldar
44,28,Santhal,Santhal,Santhal
44,29,Munda,Munda,Munda
44,30,Oraon,Oraon,Oraon
44,31,Bhumij,Bhumij,Bhumij
44,32,Ho,Ho,Ho
44,33,Lodha,Lodha,Lodha
44,34,Bhil,Bhil,Bhil
44,35,Birhor,Birhor,Birhor
44,36,Mallah,Mallah,Mallah
44,37,Teli/Teli Sahu,Teli/Teli Sahu,Teli/Teli Sahu
44,38,Napit,Napit,Napit
44,39,Karmakar,Karmakar,Karmakar
44,40,Rajak,Rajak,Rajak
44,41,Dhoba,Dhoba,Dhoba
44,42,Hela,Hela,Hela
44,43,Kahar,Kahar,Kahar
44,45,Kurmi,Kurmi,Kurmi
44,46,Pasi,Pasi,Pasi
44,47,Keot,Keot,Keot
44,44,Others (Specify),Others (Specify),Others (Specify)
44,88,Refused to respond,Refused to respond,Refused to respond
